Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map saved to char_map.json
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.01_bs_32/train.log
Model artifacts will be saved to: output/models/lr_0.01_bs_32
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 1200/4196, Loss: 5.8872
  Batch 1250/4196, Loss: 5.6367
  Batch 1300/4196, Loss: 5.8268
  Batch 1350/4196, Loss: 6.1005
  Batch 1400/4196, Loss: 5.6804
  Batch 1450/4196, Loss: 4.8344
  Batch 1500/4196, Loss: 4.9240
  Batch 1550/4196, Loss: 5.9701
  Batch 1600/4196, Loss: 5.3459
  Batch 1650/4196, Loss: 5.6757
  Batch 1700/4196, Loss: 5.9222
  Batch 1750/4196, Loss: 5.2108
  Batch 1800/4196, Loss: 5.7115
  Batch 1850/4196, Loss: 5.7244
  Batch 1900/4196, Loss: 5.7081
  Batch 1950/4196, Loss: 5.1830
  Batch 2000/4196, Loss: 5.3016
  Batch 2050/4196, Loss: 5.5373
  Batch 2100/4196, Loss: 5.1468
  Batch 2150/4196, Loss: 4.7921
  Batch 2200/4196, Loss: 5.7444
  Batch 2250/4196, Loss: 5.2133
  Batch 2300/4196, Loss: 5.8469
  Batch 2350/4196, Loss: 5.3817
  Batch 2400/4196, Loss: 5.3529
  Batch 2450/4196, Loss: 5.1183
  Batch 2500/4196, Loss: 6.7700
  Batch 2550/4196, Loss: 5.0323
  Batch 2600/4196, Loss: 5.2511
  Batch 2650/4196, Loss: 5.3695
  Batch 2700/4196, Loss: 5.0427
  Batch 2750/4196, Loss: 5.2726
  Batch 2800/4196, Loss: 5.7101
  Batch 2850/4196, Loss: 5.3488
  Batch 2900/4196, Loss: 4.9293
  Batch 2950/4196, Loss: 5.2433
  Batch 3000/4196, Loss: 5.2347
  Batch 3050/4196, Loss: 5.3835
  Batch 3100/4196, Loss: 4.9383
  Batch 3150/4196, Loss: 4.3350
  Batch 3200/4196, Loss: 5.3095
  Batch 3250/4196, Loss: 4.7178
  Batch 3300/4196, Loss: 5.3833
  Batch 3350/4196, Loss: 5.3274
  Batch 3400/4196, Loss: 5.0029
  Batch 3450/4196, Loss: 4.1780
  Batch 3500/4196, Loss: 5.5253
  Batch 3550/4196, Loss: 4.8423
  Batch 3600/4196, Loss: 4.8016
  Batch 3650/4196, Loss: 5.8894
  Batch 3700/4196, Loss: 5.0801
  Batch 3750/4196, Loss: 4.8661
  Batch 3800/4196, Loss: 5.1347
  Batch 3850/4196, Loss: 5.2186
  Batch 3900/4196, Loss: 5.4195
  Batch 3950/4196, Loss: 4.0974
  Batch 4000/4196, Loss: 5.1367
  Batch 4050/4196, Loss: 5.2692
  Batch 4100/4196, Loss: 4.8730
  Batch 4150/4196, Loss: 6.8690
Train Loss: 5.4426 Acc: 0.1165
Val Loss: 4.7149 Acc: 0.2650
Validation inference time: 42.2919s total, 1.2601 ms/sample
Best model saved to output/models/lr_0.01_bs_32/best_model.pth
Best model metrics saved to output/logs/lr_0.01_bs_32/best_model_metrics.json and output/logs/lr_0.01_bs_32/best_model_metrics.txt
Epoch time: 382.25s
Checkpoint saved to output/models/lr_0.01_bs_32/latest_checkpoint.pth

Epoch 7/50
----------
  Batch 50/4196, Loss: 5.2184
  Batch 100/4196, Loss: 5.3369
  Batch 150/4196, Loss: 4.2900
  Batch 200/4196, Loss: 5.0799
  Batch 250/4196, Loss: 4.9538
  Batch 300/4196, Loss: 5.6543
  Batch 350/4196, Loss: 5.0928
  Batch 400/4196, Loss: 5.2722
  Batch 450/4196, Loss: 4.9885
  Batch 500/4196, Loss: 4.4207
  Batch 550/4196, Loss: 4.9547
  Batch 600/4196, Loss: 4.5851
  Batch 650/4196, Loss: 5.4646
  Batch 700/4196, Loss: 5.1216
  Batch 750/4196, Loss: 4.6092
  Batch 800/4196, Loss: 4.5576
  Batch 850/4196, Loss: 4.9332
  Batch 900/4196, Loss: 4.8811
  Batch 950/4196, Loss: 5.1366
  Batch 1000/4196, Loss: 4.6927
  Batch 1050/4196, Loss: 5.4679
  Batch 1100/4196, Loss: 5.4129
  Batch 1150/4196, Loss: 4.9661
  Batch 1200/4196, Loss: 4.4370
  Batch 1250/4196, Loss: 5.1230
  Batch 1300/4196, Loss: 5.9170
  Batch 1350/4196, Loss: 4.7720
  Batch 1400/4196, Loss: 5.2780
  Batch 1450/4196, Loss: 5.3548
  Batch 1500/4196, Loss: 5.0119
  Batch 1550/4196, Loss: 6.5689
  Batch 1600/4196, Loss: 4.7710
  Batch 1650/4196, Loss: 5.4508
  Batch 1700/4196, Loss: 4.6348
  Batch 1750/4196, Loss: 5.5206
  Batch 1800/4196, Loss: 4.7682
  Batch 1850/4196, Loss: 4.4145
  Batch 1900/4196, Loss: 5.1471
  Batch 1950/4196, Loss: 4.4703
  Batch 2000/4196, Loss: 4.3422
  Batch 2050/4196, Loss: 4.5453
  Batch 2100/4196, Loss: 5.2800
  Batch 2150/4196, Loss: 4.6518
  Batch 2200/4196, Loss: 5.1439
