Using device: cuda:0
Found 167805 images belonging to 6563 classes.
Character map already exists, skipping creation.
Train samples: 134244
Val samples: 33561
Training log will be saved to: output/logs/lr_0.0005_bs_16/train.log
Model artifacts will be saved to: output/models/lr_0.0005_bs_16
Total parameters: 36955619
Trainable parameters: 28412323

Epoch 1/50
----------
  Batch 7450/8391, Loss: 5.4435
  Batch 7500/8391, Loss: 6.7199
  Batch 7550/8391, Loss: 4.6376
  Batch 7600/8391, Loss: 6.1289
  Batch 7650/8391, Loss: 5.0163
  Batch 7700/8391, Loss: 5.5267
  Batch 7750/8391, Loss: 4.7136
  Batch 7800/8391, Loss: 4.6929
  Batch 7850/8391, Loss: 5.5710
  Batch 7900/8391, Loss: 4.4663
  Batch 7950/8391, Loss: 4.9943
  Batch 8000/8391, Loss: 5.9579
  Batch 8050/8391, Loss: 5.5023
  Batch 8100/8391, Loss: 4.9381
  Batch 8150/8391, Loss: 4.2343
  Batch 8200/8391, Loss: 6.3483
  Batch 8250/8391, Loss: 4.6220
  Batch 8300/8391, Loss: 4.9807
  Batch 8350/8391, Loss: 4.5109
Train Loss: 6.1670 Acc: 0.0930
Val Loss: 5.1358 Acc: 0.2209
Validation inference time: 44.9645s total, 1.3398 ms/sample
Best model saved to output/models/lr_0.0005_bs_16/best_model.pth
Best model metrics saved to output/logs/lr_0.0005_bs_16/best_model_metrics.json and output/logs/lr_0.0005_bs_16/best_model_metrics.txt
Epoch time: 411.89s
Checkpoint saved to output/models/lr_0.0005_bs_16/latest_checkpoint.pth

Epoch 3/50
----------
  Batch 50/8391, Loss: 6.4430
  Batch 100/8391, Loss: 5.9531
  Batch 150/8391, Loss: 5.5466
  Batch 200/8391, Loss: 3.9100
  Batch 250/8391, Loss: 4.9667
  Batch 300/8391, Loss: 5.8502
  Batch 350/8391, Loss: 4.7989
  Batch 400/8391, Loss: 5.8402
  Batch 450/8391, Loss: 3.9095
  Batch 500/8391, Loss: 5.5555
  Batch 550/8391, Loss: 6.4649
  Batch 600/8391, Loss: 4.1744
  Batch 650/8391, Loss: 4.5737
  Batch 700/8391, Loss: 4.9170
  Batch 750/8391, Loss: 5.2158
  Batch 800/8391, Loss: 4.9708
  Batch 850/8391, Loss: 5.1576
  Batch 900/8391, Loss: 4.9079
  Batch 950/8391, Loss: 5.4652
  Batch 1000/8391, Loss: 5.4553
  Batch 1050/8391, Loss: 7.1574
  Batch 1100/8391, Loss: 4.9127
  Batch 1150/8391, Loss: 3.5414
  Batch 1200/8391, Loss: 4.5916
  Batch 1250/8391, Loss: 5.5869
  Batch 1300/8391, Loss: 4.5366
  Batch 1350/8391, Loss: 5.5822
  Batch 1400/8391, Loss: 4.5162
  Batch 1450/8391, Loss: 4.6137
  Batch 1500/8391, Loss: 5.1168
  Batch 1550/8391, Loss: 5.3875
  Batch 1600/8391, Loss: 5.7545
  Batch 1650/8391, Loss: 4.6512
  Batch 1700/8391, Loss: 4.4984
  Batch 1750/8391, Loss: 4.6910
  Batch 1800/8391, Loss: 4.4554
  Batch 1850/8391, Loss: 5.6010
  Batch 1900/8391, Loss: 5.5898
  Batch 1950/8391, Loss: 5.4899
  Batch 2000/8391, Loss: 4.6335
  Batch 2050/8391, Loss: 4.2680
  Batch 2100/8391, Loss: 4.0641
  Batch 2150/8391, Loss: 4.1857
  Batch 2200/8391, Loss: 4.9405
  Batch 2250/8391, Loss: 4.8955
  Batch 2300/8391, Loss: 4.4104
  Batch 2350/8391, Loss: 5.3799
  Batch 2400/8391, Loss: 4.0132
  Batch 2450/8391, Loss: 5.4911
  Batch 2500/8391, Loss: 5.6301
  Batch 2550/8391, Loss: 3.4079
  Batch 2600/8391, Loss: 4.2520
  Batch 2650/8391, Loss: 5.3754
  Batch 2700/8391, Loss: 4.4035
  Batch 2750/8391, Loss: 4.4441
  Batch 2800/8391, Loss: 4.9275
  Batch 2850/8391, Loss: 3.7323
  Batch 2900/8391, Loss: 6.0754
  Batch 2950/8391, Loss: 5.1040
  Batch 3000/8391, Loss: 4.0962
  Batch 3050/8391, Loss: 4.3318
  Batch 3100/8391, Loss: 3.5984
  Batch 3150/8391, Loss: 5.2206
  Batch 3200/8391, Loss: 4.7075
  Batch 3250/8391, Loss: 5.6688
  Batch 3300/8391, Loss: 4.4175
  Batch 3350/8391, Loss: 5.3703
  Batch 3400/8391, Loss: 4.7042
  Batch 3450/8391, Loss: 4.0208
  Batch 3500/8391, Loss: 4.4905
  Batch 3550/8391, Loss: 3.6611
  Batch 3600/8391, Loss: 4.5703
  Batch 3650/8391, Loss: 4.8999
  Batch 3700/8391, Loss: 4.2618
  Batch 3750/8391, Loss: 4.5129
  Batch 3800/8391, Loss: 4.4531
  Batch 3850/8391, Loss: 5.2268
  Batch 3900/8391, Loss: 4.0149
  Batch 3950/8391, Loss: 3.7578
  Batch 4000/8391, Loss: 3.6693
  Batch 4050/8391, Loss: 4.3449
